.CryptoHasYou.,.enc,, YOUR_FILES_ARE_LOCKED.txt,,AES(256),,,,http://www.nyxbone.com/malware/CryptoHasYou.html,,https://www.google.de/search?tbm=isch&q=Ransomware+.CryptoHasYou.,,
777,.777,"._[timestamp]_$[email]$.777
e.g. ._14-05-2016-11-59-36_$ninja.gaiver@aol.com$.777",read_this_file.txt,,XOR,Sevleg,,https://decrypter.emsisoft.com/777,,,https://www.google.de/search?tbm=isch&q=Ransomware+777,,
7ev3n,".R4A
.R5A",,FILES_BACK.txt,,,7ev3n-HONE$T,,"https://github.com/hasherezade/malware_analysis/tree/master/7ev3n
https://www.youtube.com/watch?v=RDNbH5HDO1E&feature=youtu.be","http://www.nyxbone.com/malware/7ev3n-HONE$T.html
",,https://www.google.de/search?tbm=isch&q=Ransomware+7ev3n,,
7h9r,.7h9r,,README_.TXT,,AES,,,,http://www.nyxbone.com/malware/7h9r.html,,https://www.google.de/search?tbm=isch&q=Ransomware+7h9r,,
8lock8,.8lock8,,READ_IT.txt,Based on HiddenTear,AES(256),,,http://www.bleepingcomputer.com/forums/t/614025/8lock8-help-support-topic-8lock8-read-ittxt/,,,https://www.google.de/search?tbm=isch&q=Ransomware+8lock8,,
AiraCrop,._AiraCropEncrypted,,How to decrypt your files.txt,related to TeamXRat,,,,,https://twitter.com/PolarToffee/status/796079699478900736,,https://www.google.de/search?tbm=isch&q=Ransomware+AiraCrop,,
Al-Namrood,".unavailable
.disappeared",,Read_Me.Txt,,,,,https://decrypter.emsisoft.com/al-namrood,,,https://www.google.de/search?tbm=isch&q=Ransomware+Al-Namrood,,
Alcatraz Locker,.Alcatraz,,ransomed.html,,,,,,https://twitter.com/PolarToffee/status/792796055020642304,,https://www.google.de/search?tbm=isch&q=Ransomware+Alcatraz+Locker,,
ALFA Ransomware,.bin,,README HOW TO DECRYPT YOUR FILES.HTML,Made by creators of Cerber,,,,,http://www.bleepingcomputer.com/news/security/new-alfa-or-alpha-ransomware-from-the-same-devs-as-cerber/,,https://www.google.de/search?tbm=isch&q=Ransomware+ALFA+Ransomware,,
Alma Ransomware,random,random(x5),Unlock_files_randomx5.html,,AES(128),,,https://cta-service-cms2.hubspot.com/ctas/v2/public/cs/c/?cta_guid=d4173312-989b-4721-ad00-8308fff353b3&placement_guid=22f2fe97-c748-4d6a-9e1e-ba3fb1060abe&portal_id=326665&redirect_url=APefjpGnqFjmP_xzeUZ1Y55ovglY1y1ch7CgMDLit5GTHcW9N0ztpnIE-ZReqqv8MDj687_4Joou7Cd2rSx8-De8uhFQAD_Len9QpT7Xvu8neW5drkdtTPV7hAaou0osAi2O61dizFXibewmpO60UUCd5OazCGz1V6yT_3UFMgL0x9S1VeOvoL_ucuER8g2H3f1EfbtYBw5QFWeUmrjk-9dGzOGspyn303k9XagBtF3SSX4YWSyuEs03Vq7Fxb04KkyKc4GJx-igK98Qta8iMafUam8ikg8XKPkob0FK6Pe-wRZ0QVWIIkM&hsutk=34612af1cd87864cf7162095872571d1&utm_referrer=https%3A%2F%2Finfo.phishlabs.com%2Fblog%2Falma-ransomware-analysis-of-a-new-ransomware-threat-and-a-decrypter&canon=https%3A%2F%2Finfo.phishlabs.com%2Fblog%2Falma-ransomware-analysis-of-a-new-ransomware-threat-and-a-decrypter&__hstc=61627571.34612af1cd87864cf7162095872571d1.1472135921345.1472140656779.1472593507113.3&__hssc=61627571.1.1472593507113&__hsfp=1114323283,https://info.phishlabs.com/blog/alma-ransomware-analysis-of-a-new-ransomware-threat-and-a-decrypter,http://www.bleepingcomputer.com/news/security/new-alma-locker-ransomware-being-distributed-via-the-rig-exploit-kit/,https://www.google.de/search?tbm=isch&q=Ransomware+Alma+Ransomware,,
Alpha Ransomware,.encrypt,,Read Me (How Decrypt) !!!!.txt,,AES(256),AlphaLocker,,http://download.bleepingcomputer.com/demonslay335/AlphaDecrypter.zip,http://www.bleepingcomputer.com/news/security/decrypted-alpha-ransomware-continues-the-trend-of-accepting-amazon-cards/,https://twitter.com/malwarebread/status/804714048499621888,https://www.google.de/search?tbm=isch&q=Ransomware+Alpha+Ransomware,,
Alphabet,,,,Doesn't encrypt any files / provides you the key,,,,,https://twitter.com/PolarToffee/status/812331918633172992,,https://www.google.de/search?tbm=isch&q=Ransomware+Alphabet,,
AMBA,.amba,,"ПРОЧТИ_МЕНЯ.txt
READ_ME.txt","Websites only
amba@riseup.net",,,,,https://twitter.com/benkow_/status/747813034006020096,,https://www.google.de/search?tbm=isch&q=Ransomware+AMBA,,
Angela Merkel,.angelamerkel,,,,,,,,https://twitter.com/malwrhunterteam/status/798268218364358656,,https://www.google.de/search?tbm=isch&q=Ransomware+Angela+Merkel,,
AngleWare,.AngleWare,,READ_ME.txt,,,,,,https://twitter.com/BleepinComputer/status/844531418474708993,,,,
Angry Duck,.adk,,,Demands 10 BTC,,,,,https://twitter.com/demonslay335/status/790334746488365057,,https://www.google.de/search?tbm=isch&q=Ransomware+Angry+Duck,,
Anony,,,,,,"Based on HiddenTear
ngocanh",,,https://twitter.com/struppigel/status/842047409446387714,,https://www.google.de/search?tbm=isch&q=Ransomware+Anony,,
Anubis,.coded,,Decryption Instructions.txt,EDA2,AES(256),,,,http://nyxbone.com/malware/Anubis.html,,https://www.google.de/search?tbm=isch&q=Ransomware+Anubis,,
Apocalypse,".encrypted
.SecureCrypted
.FuckYourData
.unavailable
.bleepYourFiles
.Where_my_files.txt","[filename].ID-*8characters+countrycode[cryptservice@inbox.ru].[random7characters]
*filename*.ID-[A-F0-9]{8}+countrycode[cryptcorp@inbox.ru].[a-z0-9]{13}","*.How_To_Decrypt.txt
*.Contact_Here_To_Recover_Your_Files.txt
*.Where_my_files.txt
*.Read_Me.Txt
*md5*.txt","decryptionservice@mail.ru
recoveryhelp@bk.ru
ransomware.attack@list.ru
esmeraldaencryption@mail.ru
dr.compress@bk.ru",,Fabiansomeware,,https://decrypter.emsisoft.com/apocalypse,http://blog.emsisoft.com/2016/06/29/apocalypse-ransomware-which-targets-companies-through-insecure-rdp/,,https://www.google.de/search?tbm=isch&q=Ransomware+Apocalypse,,
ApocalypseVM,".encrypted
.locked",,*.How_To_Get_Back.txt ,Apocalypse ransomware version which uses VMprotect,,,,http://decrypter.emsisoft.com/download/apocalypsevm,,,https://www.google.de/search?tbm=isch&q=Ransomware+ApocalypseVM,,
ASN1,,,!!!!!readme!!!!!.htm,,,,,,https://malwarebreakdown.com/2017/03/02/rig-ek-at-92-53-105-43-drops-asn1-ransomware/,,,,
AutoLocky,.locky,,"info.txt
info.html",,,,,https://decrypter.emsisoft.com/autolocky,,,https://www.google.de/search?tbm=isch&q=Ransomware+AutoLocky,,
Aw3s0m3Sc0t7,.enc,,,,,,,,https://twitter.com/struppigel/status/828902907668000770,,,,
BadBlock,,,Help Decrypt.html,,,,,https://decrypter.emsisoft.com/badblock,http://www.nyxbone.com/malware/BadBlock.html,,http://www.nyxbone.com/images/articulos/malware/badblock/5.png,,
BadEncript,.bript,,More.html,,,,,,https://twitter.com/demonslay335/status/813064189719805952,,https://www.google.de/search?tbm=isch&q=Ransomware+BadEncript,,
BaksoCrypt,.adr,,,Based on my-Little-Ransomware,,,,,https://twitter.com/JakubKroustek/status/760482299007922176,https://0xc1r3ng.wordpress.com/2016/06/24/bakso-crypt-simple-ransomware/,https://www.google.de/search?tbm=isch&q=Ransomware+BaksoCrypt,,
Bandarchor,.id-1235240425_help@decryptservice.info,.id-[ID]_[EMAIL_ADDRESS],HOW TO DECRYPT.txt,Files might be partially encrypted,AES(256),Rakhni,,,https://reaqta.com/2016/03/bandarchor-ransomware-still-active/,https://www.bleepingcomputer.com/news/security/new-bandarchor-ransomware-variant-spreads-via-malvertising-on-adult-sites/,https://www.google.de/search?tbm=isch&q=Ransomware+Bandarchor,,
BarRax,.BarRax,,,Based on HiddenTear,,,,,https://twitter.com/demonslay335/status/835668540367777792,,,,
Bart,".bart.zip
.bart
.perl",,"recover.txt
recover.bmp","Possible affiliations with RockLoader, Locky and Dridex",,BaCrypt,,http://now.avg.com/barts-shenanigans-are-no-match-for-avg/,http://phishme.com/rockloader-downloading-new-ransomware-bart/,https://www.proofpoint.com/us/threat-insight/post/New-Bart-Ransomware-from-Threat-Actors-Spreading-Dridex-and-Locky,https://www.google.de/search?tbm=isch&q=Ransomware+Bart,,
